label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,11,3,0.51,0.06999999999999999,0.5130345821380615,0.07651126068773546,2.4,0.08760707733967607,0.0,0.0,0.0,0.09000000000000001
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,12,3,0.5033333333333333,0.10016652800877808,0.5027018388112386,0.0867052936396797,2.3866666666666667,0.16327379867368,0.0,0.0,0.0,0.10666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,13,3,0.5033333333333333,0.09018499505645793,0.5016110042730967,0.09915760124385191,2.3916666666666666,0.13549292724468437,0.0,0.0,0.0,0.12333333333333334
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,14,3,0.51,0.09165151389911681,0.5012866059939066,0.09482344257384225,2.4299999999999997,0.14309088021254185,0.0,0.0,0.0,0.12666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,15,3,0.5133333333333333,0.09609023536933049,0.5105120142300924,0.09767556869451267,2.4416666666666664,0.16002603954773537,0.0,0.0,0.0,0.10666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,16,3,0.5066666666666667,0.0901849950564579,0.51459668080012,0.09264412580557113,2.4433333333333334,0.1692138686199607,0.0,0.0,0.0,0.09666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,17,3,0.49666666666666665,0.10016652800877811,0.5015407502651215,0.09884101247047729,2.4233333333333333,0.18454899981667014,0.0,0.0,0.0,0.12666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,18,3,0.5,0.09539392014169454,0.4904252886772156,0.09693151272024336,2.44,0.17022044530549205,0.0,0.0,0.0,0.11666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,19,3,0.48333333333333334,0.10016652800877808,0.48709861437479657,0.09369762459452007,2.4166666666666665,0.15821925715074425,0.0,0.0,0.0,0.13
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,20,3,0.47333333333333333,0.0929157324317757,0.4730682969093323,0.09168620543366539,2.4116666666666666,0.135030860670194,0.0,0.0,0.0,0.12333333333333334
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,21,3,0.4666666666666666,0.09504384952922172,0.47123585144678753,0.09685724408950032,2.393333333333333,0.14145081595145823,0.0,0.0,0.0,0.10666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,22,3,0.47666666666666674,0.07094598884597587,0.47409893075625104,0.08376721254430389,2.4183333333333334,0.10275375094532241,0.0,0.0,0.0,0.12
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,23,3,0.4666666666666666,0.08082903768654762,0.4752093553543091,0.07388457606332613,2.408333333333333,0.10866615541802012,0.0,0.0,0.0,0.12333333333333334
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,24,3,0.4666666666666666,0.08082903768654762,0.46222108602523804,0.08976842394588744,2.4183333333333334,0.09569918146637066,0.0,0.0,0.0,0.10999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,25,3,0.45999999999999996,0.07549834435270751,0.4661262234052022,0.06379031755835315,2.4,0.07937253933193783,0.0,0.0,0.0,0.11
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,26,3,0.4533333333333333,0.08326663997864532,0.45572741826375324,0.07768628999743216,2.3866666666666667,0.08504900548115402,0.0,0.0,0.0,0.10000000000000002
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,27,3,0.4666666666666666,0.08082903768654762,0.4579716622829437,0.09005560116068542,2.4233333333333333,0.10408329997330673,0.0,0.0,0.0,0.13333333333333333
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,28,3,0.4633333333333334,0.0862167810425171,0.46837445100148517,0.07822787876425273,2.4116666666666666,0.1189887949906768,0.0,0.0,0.0,0.09999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,2.0,1.0,linear,True,29,3,0.4633333333333334,0.10598742063723099,0.4584953486919403,0.10076672589044354,2.4266666666666667,0.15332427509475913,0.0,0.0,0.0,0.09666666666666668
