label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.5,1,25,experiments/runs/20260511_164144_953636_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p5_seed01,0.21224152108674108,21.224152108674108,0.44890198662929853,0.0005201197927132034,0.043124964407231875,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.5,2,25,experiments/runs/20260511_164145_036849_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p5_seed02,0.2115864703106204,21.15864703106204,0.45209497406273674,0.00046904460082982454,0.04289434650900856,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.5,3,25,experiments/runs/20260511_164145_121381_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p5_seed03,0.21211163526649007,21.211163526649006,0.45372480502298373,0.00032507140662456596,0.04321362036842278,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.5,4,25,experiments/runs/20260511_164145_228059_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p5_seed04,0.21158275335575927,21.158275335575926,0.45156055361388087,0.00038085903409055356,0.04290379105297217,1
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.5,5,25,experiments/runs/20260511_164145_318662_toy7_resource_sweep_seeds01_05_r0p05_c0p25_output_average_output_similarity_a0p5_seed05,0.21121086452547277,21.121086452547278,0.45049954514359003,0.00047485919630558637,0.04268214974138026,1
toy7_resource_sweep_seeds01_05,0.05,0.35,none,none,0.0,1,25,experiments/runs/20260511_164145_402310_toy7_resource_sweep_seeds01_05_r0p05_c0p35_none_none_a0_seed01,0.2853137304202531,28.53137304202531,0.43040827309236784,0.0005203387793047783,0.05719159485319036,100
toy7_resource_sweep_seeds01_05,0.05,0.35,none,none,0.0,2,25,experiments/runs/20260511_164145_442286_toy7_resource_sweep_seeds01_05_r0p05_c0p35_none_none_a0_seed02,0.28466598967838436,28.466598967838436,0.43374937177941797,0.0004677981866319205,0.056974428453033646,100
toy7_resource_sweep_seeds01_05,0.05,0.35,none,none,0.0,3,25,experiments/runs/20260511_164145_484070_toy7_resource_sweep_seeds01_05_r0p05_c0p35_none_none_a0_seed03,0.28526863244326,28.526863244325998,0.43523496241175735,0.0003257083306311099,0.0573240995479138,100
toy7_resource_sweep_seeds01_05,0.05,0.35,none,none,0.0,4,25,experiments/runs/20260511_164145_527176_toy7_resource_sweep_seeds01_05_r0p05_c0p35_none_none_a0_seed04,0.2847426878432979,28.47426878432979,0.4332327908516816,0.0003803413209846969,0.05703144937072906,100
toy7_resource_sweep_seeds01_05,0.05,0.35,none,none,0.0,5,25,experiments/runs/20260511_164145_567359_toy7_resource_sweep_seeds01_05_r0p05_c0p35_none_none_a0_seed05,0.2844684943825437,28.446849438254368,0.43221996332923696,0.00047473142751940626,0.05685637518673861,100
